busi,label,x,y,name,categories,rating,review_count
6Vyp-9i1jzwK_bvisuPJpQ,3,2.193737259,13.85604766,Lobster ME,"['Seafood', 'Restaurants']",3.5,822
c-NXKTJ0jrrusTPxJAUwvA,12,15.46794994,10.74424297,Red Robin Gourmet Burgers,"['American (Traditional)', 'Restaurants', 'Burgers']",2.5,177
oJZNHz5UUVUgrZwVBVlpYw,9,-3.256611633,8.600550675,Petrossian Bar,"['Nightlife', 'Bars', 'French', 'Lounges', 'Food', 'Restaurants', 'Tea Rooms', 'Wine Bars', 'Coffee & Tea']",4,155
N6MzDoao6s68nAIW8vS9dQ,2,16.89299948,-11.73845545,Biaggio's Pizzeria,"['Restaurants', 'Italian', 'Pasta Shops', 'Food', 'Specialty Food', 'Pizza']",4.5,561
VeiL_tgw7dsl-7IcnOsh0g,8,-18.47633213,4.646962812,Sushi Hiro,"['Japanese', 'Sushi Bars', 'Restaurants']",4.5,166
uDeycmwCy26ALJHeG3SsEA,1,15.12663027,3.948939871,Buffalo Wild Wings,"['Chicken Wings', 'Bars', 'Sports Bars', 'Restaurants', 'American (Traditional)', 'Nightlife']",3,189
CCRgGKhzxSpl38w7yhqKUw,7,-9.509379257,-12.22723842,Noodles,"['Chinese', 'Dim Sum', 'Restaurants', 'Asian Fusion', 'Korean']",3,801
WCFz9KVJTtIXSVvD5NMYoQ,3,-0.109177591,12.81769447,Chart House,"['Seafood', 'Restaurants', 'Steakhouses', 'American (Traditional)']",4,248
dm6sO_Y8JdKTE1ZM955yug,16,-1.550614358,-19.15278206,Chada Thai & Wine,"['Restaurants', 'Nightlife', 'Wine Bars', 'Bars', 'Thai']",4.5,348
7wHLFohwCw8l6WS-feLjeg,3,-2.97820774,16.23949132,Other Mama,"['Sushi Bars', 'Cocktail Bars', 'Live/Raw Food', 'Bars', 'Restaurants', 'Seafood', 'Nightlife']",4.5,305
El83MSV3YHDtcSeIJqPOhg,1,15.07898992,5.119613272,The Chicken Shack,"['Chicken Wings', 'American (Traditional)', 'Restaurants']",5,142
rD32POdIhGN9eR8aUxl-3A,5,-17.35375294,-2.361203065,Chipotle Mexican Grill,"['Fast Food', 'Restaurants', 'Mexican']",2.5,111
PLQl-y06iPOEaqsy_nx-Eg,9,0.59169976,-10.84858247,Cafe Mayakovsky,"['Restaurants', 'Cafes', 'Russian']",4.5,173
P8uECqGqXWTwEndkh-6bQw,2,15.64740784,-11.89487687,Naked City Pizza Shop on Arville,"['Restaurants', 'Pizza', 'Sandwiches', 'Chicken Wings', 'Italian']",4,452
oH6QAuoTLFaX97oqqpLTMg,2,17.2929185,-11.934933,Familia Pizzeria,"['Pizza', 'Restaurants']",4,253
QXV3L_QFGj8r6nWX2kS2hA,1,-13.21189452,-4.722478763,Nacho Daddy,"['Restaurants', 'American (New)', 'Breakfast & Brunch', 'American (Traditional)', 'Tex-Mex', 'New Mexican Cuisine', 'Vegan', 'Mexican']",4.5,347
Wfl_ch21ojyHsPnkvvnstw,14,8.343495389,-2.132878511,Capriotti's Sandwich Shop,"['Restaurants', 'American (Traditional)', 'Sandwiches']",4,333
tMdgY7Ou4k3bYZZulJCiuQ,9,5.988381315,0.063925103,Bronze Cafe At The Center,"['Salad', 'Vegetarian', 'Restaurants', 'Food', 'Coffee & Tea', 'Vegan', 'Sandwiches', 'Cafes']",4.5,585
lF4pEu4_55SSFEo6Q58ftQ,9,-0.33678131,8.195890275,German Bread Bakery,"['Bakeries', 'Restaurants', 'German', 'Food']",4.5,138
hgeXEGD9lRX4ohj7afSJnw,16,-2.820381507,-16.94455291,Thai Style Noodle House,"['Noodles', 'Thai', 'Restaurants']",3.5,193
YaTlfyPieOXwHH16wzieFg,5,-16.50784251,-2.843466056,Cafe Rio,"['Fast Food', 'Restaurants', 'Mexican']",2.5,297
1CR2ddUcjYYwRd5JLtiRrw,1,-7.864473627,2.127904594,Hard Rock Cafe,"['American (New)', 'Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Music Venues', 'Arts & Entertainment', 'Nightlife', 'Restaurants']",3.5,453
SkSkWld_ijmWVEDo9_ztKw,2,16.68500419,-12.42698501,Bistro Pizza,"['Restaurants', 'Sandwiches', 'Pizza', 'Italian']",4.5,346
Q-fXNh68OldNdotEVEJuhQ,1,-8.398244127,5.406992132,Born And Raised,"['Food', 'Bars', 'Chicken Wings', 'Sports Bars', 'Lounges', 'Restaurants', 'American (New)', 'Beer', 'Wine & Spirits', 'Nightlife', 'American (Traditional)']",4,165
gqcJHVFCPeBRGnDf8bFzMw,3,7.642201335,14.17140727,Outback Steakhouse,"['Restaurants', 'Steakhouses']",3.5,130
y7Js-07RF8d3N_AEtaw2VQ,12,14.78013674,10.08244217,Heart Attack Grill,"['Burgers', 'Restaurants', 'Arts & Entertainment', 'American (Traditional)', 'Performing Arts']",3,720
IMLrj2klosTFvPRLv56cng,3,2.155188118,9.63089551,Honey Salt,"['Restaurants', 'American (New)', 'Cafes']",4,1005
bvGdqJ-SeGdIHX-HEabwlg,4,5.465146588,-10.20905394,Bogey's North Beach Italian Bistro,"['Seafood', 'Breakfast & Brunch', 'Italian', 'Restaurants']",4.5,156
7Xw_vv-ekUL2sTqipnKT0g,1,15.17366601,3.957156914,Buffalo Wild Wings,"['Chicken Wings', 'Bars', 'Sports Bars', 'Nightlife', 'Barbeque', 'Restaurants', 'American (Traditional)']",2.5,347
wfWcE4K7vQX1Fjao9Q-12Q,16,-4.011558022,-18.09517701,Thai Basil,"['Sushi Bars', 'Restaurants', 'Chinese', 'Thai']",3.5,138
IRbgMt0cVuzK1KSppU16_Q,3,-17.0062333,7.555393026,Andrea's,"['Restaurants', 'Bars', 'Nightlife', 'Asian Fusion']",4,354
_hML_SleB40KkUrMHOZ_-Q,3,1.36048463,11.20067405,Rx Boiler Room,"['Bars', 'Cocktail Bars', 'American (New)', 'American (Traditional)', 'Nightlife', 'Restaurants']",4,347
65eDIQ8bpMJFtgdyX7ulVA,9,3.638749158,19.02690643,Yassou,"['Greek', 'Restaurants', 'Mediterranean']",4.5,440
FZXdI7r9PJVWjzS0S64kog,8,-20.65975183,2.439114582,Sushi Wow,"['Sushi Bars', 'Restaurants']",3.5,117
OHXnDV01gLokiX1ELaQufA,7,-7.168829405,-6.922781397,Teriyaki House,"['Restaurants', 'Japanese']",4.5,104
wdOOK3K6vzQy1d_OIk-U9w,8,-21.55079725,2.766201654,Yama Sushi,"['Sushi Bars', 'Restaurants']",3.5,412
5ma1OUQWy_Ds80xUiP7JPQ,12,14.44896126,11.92645153,Fuku Burger,"['Restaurants', 'Burgers']",4,207
jVD09YgKsDtKD5sOYes6wg,9,12.0460826,-2.477599061,SEA: The Thai Experience,"['Thai', 'Vietnamese', 'Asian Fusion', 'Restaurants']",3.5,311
DkYS3arLOhA8si5uUEmHOw,14,8.131593438,-1.931014951,Earl of Sandwich,"['Restaurants', 'Caterers', 'Event Planning & Services', 'Sandwiches', 'Salad', 'Soup', 'Food', 'Food Delivery Services']",4.5,4655
azIZRqX_1qbp0_6GKSgSAA,8,-17.13927733,6.297488133,Japonais,"['Japanese', 'Sushi Bars', 'Restaurants', 'Asian Fusion']",3.5,339
cYwJA2A6I12KNkm2rtXd5g,12,14.08564707,11.6474227,Gordon Ramsay BurGR,"['Restaurants', 'Burgers']",4,5116
LEzaRCdhDfO2eM75HZNnUQ,8,-11.84792665,0.240079824,Miko's Izakaya,"['Restaurants', 'Japanese', 'Sushi Bars']",4.5,302
68jn0s0snbO5dhasLaVvDw,7,-9.180886168,-7.695078215,Flock & Fowl,"['Chicken Shop', 'Restaurants', 'Singaporean', 'Chinese']",4.5,263
BxRTF1hmGAzMzkTDsEp2gw,14,7.276223397,-1.172140237,Panera Bread,"['Food', 'Salad', 'Sandwiches', 'Bagels', 'Soup', 'Bakeries', 'Breakfast & Brunch', 'Restaurants']",4,162
oDNfrdvMV2Fq0R6vd2XwNw,8,-17.74302983,7.386692837,Koi Restaurant,"['Restaurants', 'Sushi Bars', 'Japanese']",3.5,520
0AQnRQw34IQW9-1gJkYnMA,5,-13.68908951,-5.46598843,Diablo's Cantina,"['Mexican', 'Restaurants', 'Bars', 'Nightlife']",3,996
B3omTXI--0eiBC7nCv_WXg,9,9.70451877,5.444221926,Farm Basket,"['Restaurants', 'American (New)', 'Fast Food']",4,112
QnfAHUr5-HTiaA5-va3glQ,2,17.78856935,-14.27219909,Streets of New York,"['Pizza', 'Italian', 'Restaurants', 'Sandwiches']",3.5,152
V90fC_aF-_DNYzQvUtbLww,8,-20.15079582,6.302142823,Jayde Fuzion,"['Asian Fusion', 'Resorts', 'Beauty & Spas', 'Arts & Entertainment', 'Restaurants', 'Hotels & Travel', 'Casinos', 'Day Spas']",3,196
UMqfeCItzQ2glr4d9apGlA,9,-2.254856836,6.619653347,Sunrise Coffee,"['Coffee & Tea', 'Vegan', 'Food', 'Tea Rooms', 'Restaurants']",4.5,815
9lqPRnnxUA47dacFK9lhtQ,9,-1.603752699,6.72605184,Va Bene Caff髄,"['Cafes', 'Coffee & Tea', 'Food', 'Restaurants', 'Desserts']",3.5,183
etid3CozFvEOFcvDwHXsDw,3,4.552538648,9.625618563,Harvest by Roy Ellamar,"['Restaurants', 'American (New)']",4,197
TVbVii4EUQt9DG7y698zIw,19,5.350412292,3.245634538,ARIA Caf姓,"['Restaurants', 'Cafes', 'American (New)', 'Breakfast & Brunch']",2.5,654
0gTTGuA6uEmMhLhfJi0hqA,2,14.04463877,-12.18249019,Sammy's Woodfired Pizza and Grill,"['Restaurants', 'Salad', 'Gluten-Free', 'Pizza']",3.5,114
gdb4gmSI5eJcuXLZ3BfgtA,7,-8.118200327,-14.56751312,Jacky Chan,"['Restaurants', 'Thai', 'Chinese']",3,125
fAlKTsfsUF6A5iujEI2Z1w,1,11.31956135,11.43257636,Off The Strip at the LINQ,"['American (Traditional)', 'Steakhouses', 'Nightlife', 'Restaurants', 'American (New)', 'Comfort Food', 'Italian', 'Bars']",4,388
u3nwislXMKKwkpHAXAArbQ,7,-8.935694939,-14.0242833,KJ Kitchen,"['Restaurants', 'Chinese']",3.5,258
tA5mqEP68qjbTFK9c14D7A,7,-8.027276976,-9.92008808,Pot Tea Social House,"['Asian Fusion', 'Coffee & Tea', 'Restaurants', 'Taiwanese', 'Seafood', 'Food']",4,235
ckke8MRDHVLJdNa0quxOEg,9,-3.771530703,11.93213233,Anise Tapas & Grill,"['Restaurants', 'Kosher', 'Mediterranean', 'Tapas/Small Plates', 'Tapas Bars']",3.5,134
YVd2yYNjpiFg2s4ToMRmPA,9,-1.666153296,9.070001698,Cinnaholic,"['Bakeries', 'Food', 'Vegan', 'Restaurants', 'Desserts']",4.5,166
arv3T_av9OoVo3SvxV4TXw,8,-18.41826419,7.838831688,Fish N Bowl,"['Restaurants', 'Sushi Bars', 'Asian Fusion', 'Seafood']",4.5,172
_Kd0kQ8RF70hJ1ykLqCRyQ,5,-16.56090237,-2.864338894,Cafe Rio,"['Restaurants', 'Mexican']",3.5,285
iqQEH6olFhpqwZjFRRFmuA,8,-18.06950273,3.426952443,Spicy Tuna Sushi,"['Sushi Bars', 'Restaurants', 'Japanese']",4.5,230
SgSVJWgMwFteYyz4OlHu9Q,2,17.246891,-13.01286612,Bambino's East Coast Pizzeria,"['Italian', 'Restaurants', 'Caterers', 'Pizza', 'Event Planning & Services']",4.5,190
Cr-ywH3ZjBqCyolXf8BpVA,3,4.313048123,13.86901011,Charcoal Room,"['Restaurants', 'Nightlife', 'Steakhouses', 'Bars', 'Breakfast & Brunch', 'Wine Bars']",4,125
aQ222ydz_GSRZV66xNt4kQ,8,-18.36340426,6.644933288,Sen of Japan,"['Japanese', 'Restaurants', 'Sushi Bars']",4.5,396
BwuyBsShSQwO3_-SvW6fRA,9,2.009626644,19.43741944,Kabob Grill,"['Middle Eastern', 'Persian/Iranian', 'Restaurants', 'Mediterranean']",4,192
XhUec_6-kgPy1_ZYUrzvPQ,3,5.404369124,12.73207351,Anthony's Prime Steak & Seafood,"['Steakhouses', 'Restaurants', 'Seafood', 'Beer', 'Wine & Spirits', 'Food']",4,196
OVTY-NpcTA7iXbMQmusv3A,2,12.70001282,-9.894999195,BJ's Restaurant & Brewhouse,"['Restaurants', 'Pizza', 'Food', 'American (New)', 'Breweries', 'Beer', 'Wine & Spirits']",4,430
epETdeCmoF_-ufT5b8ACUA,19,-1.81149556,3.48377332,Omelet House,"['Diners', 'Breakfast & Brunch', 'American (Traditional)', 'American (New)', 'Restaurants']",4.5,415
ZFyJ83LJkkO1dP82kzXKNg,9,16.02125658,7.352048097,Raising Cane's,"['Fast Food', 'Restaurants', 'Southern', 'Chicken Wings', 'Chicken Shop', 'American (Traditional)']",4,304
H5Y6o9H4rtxbHJFgLqI6Fw,1,-8.918507299,15.09126731,Chili's,"['Tex-Mex', 'Bars', 'Nightlife', 'American (Traditional)', 'Restaurants']",3,124
PJPO9AYkt__t4kSWdSWnfw,19,5.555977442,1.994671925,MTO Caf姓,"['Restaurants', 'Breakfast & Brunch', 'Diners', 'American (New)']",3.5,235
-3zffZUHoY8bQjGfPSoBKQ,3,4.115021965,8.882350064,Michael Mina,"['Restaurants', 'Bars', 'Nightlife', 'Seafood', 'American (New)']",4,542
JPfi__QJAaRzmfh5aOyFEw,7,-9.417978954,-11.84870656,Shang Artisan Noodle,"['Restaurants', 'Soup', 'Chinese', 'Noodles']",4.5,169
OFNXLfKbnsh7zV6Iu3EbyA,2,16.35909409,-10.69836755,Flamingo Pizza,"['Pizza', 'Restaurants']",3.5,243
7sb2FYLS2sejZKxRYF9mtg,8,-21.6158876,4.452650903,Sakana,"['Sushi Bars', 'Japanese', 'Restaurants']",4.5,1443
1zMzkxYgVqJbKGTMQorarA,19,-1.40766538,4.941164336,Coo Coo's Gourmet Coffee Cafe,"['Comfort Food', 'Breakfast & Brunch', 'Food', 'British', 'Restaurants', 'Coffee & Tea']",4,100
EFxnpVs3vLUvpt1vX_iPdg,9,-0.275738671,-5.2229009,Sonio's Cafe,"['Mediterranean', 'Diners', 'American (Traditional)', 'Cafes', 'Salad', 'Vegetarian', 'Restaurants', 'Hot Dogs']",4,110
FYqFfaxVRW6pdviONXIoDw,3,4.867323989,13.38441493,Fleming's Prime Steakhouse & Wine Bar,"['Bars', 'Steakhouses', 'Restaurants', 'Wine Bars', 'Nightlife', 'American (New)']",4,267
Mn6PbumS7GL2v3jPilTaeg,6,3.974160732,-16.85354157,Tamba,"['Halal', 'Gluten-Free', 'Indian', 'Restaurants', 'Pakistani', 'Nightlife', 'Bars']",3.5,457
UCpUOtvqR-NBWBNVMzJleA,1,-9.657419214,3.619779672,Blue Martini Lounge,"['Restaurants', 'American (New)', 'Lounges', 'Nightlife', 'Bars']",3.5,681
0NmTwqYEQiKErDv4a55obg,4,3.552375339,-8.17768351,Scarpetta,"['Restaurants', 'Italian']",4,1028
mnU3iGsL55MCWXiWV3AcAQ,12,17.82414959,12.12974155,In-N-Out Burger,"['Fast Food', 'Burgers', 'Restaurants']",4.5,139
7dHYudt6OOIjiaxkSvv3lQ,12,17.76031514,12.13076622,In-N-Out Burger,"['Restaurants', 'Fast Food', 'Burgers']",4,302
QJ6GXAAMkgCZPF0bZk0xLw,9,2.721613885,19.25096155,Baladie Caf姓,"['Greek', 'Middle Eastern', 'Restaurants', 'Mediterranean']",4.5,311
igHYkXZMLAc9UdV5VnR_AA,3,5.580834982,12.40592793,Echo & Rig,"['Steakhouses', 'Restaurants']",4.5,1403
iUg-giEl5nINQoc6yau5yQ,0,7.567980139,7.107808664,Primarily Prime Rib Restaurant,"['Steakhouses', 'Food', 'Restaurants']",4,160
OjApDLQUPV8c_yPCg8xZog,11,16.60930808,-0.083125039,Pot Liquor CAS,"['Restaurants', 'Caterers', 'Event Planning & Services', 'Barbeque', 'Southern', 'Soul Food', 'American (Traditional)', 'American (New)']",4,685
MpovsyjkSkchD7ssAdEVKQ,3,5.416104732,11.91102495,Charlie Palmer Steak,"['Restaurants', 'Steakhouses', 'American (New)']",4,364
LtO6vTBfYzlgWArn3kRe_A,17,-19.41495904,-6.123203986,Tacos El Gordo,"['Restaurants', 'Mexican']",4,247
Y-S2LhHefBdnX8VP5Bh_JA,1,10.60278981,11.29150351,Citizens Kitchen and Bar,"['Restaurants', 'Steakhouses', 'Comfort Food', 'American (New)']",3,650
Jt28TYWanzKrJYYr0Tf1MQ,5,-13.46842532,-4.968663332,Cabo Wabo Cantina,"['Arts & Entertainment', 'Restaurants', 'Bars', 'Nightlife', 'Music Venues', 'Mexican']",3,953
lKH_cqeaeVpHdsO2dK58OA,12,14.64120277,11.96006635,Smashburger,"['Restaurants', 'Burgers']",3.5,226
saQQmDQQJ14BVkm_sg53UA,9,0.779722688,18.69393018,Zaytoon Mediterranean Market and Kabob,"['Food', 'Middle Eastern', 'Grocery', 'Mediterranean', 'Halal', 'Kosher', 'Persian/Iranian', 'Restaurants']",4.5,283
DKXUkIrFnMUMF535gf-dPA,17,-18.65063731,-5.603679857,Frijoles & Frescas Grilled Tacos,"['Mexican', 'Event Planning & Services', 'Caterers', 'Restaurants']",4.5,120
mwE5uNVkxCXvEuVa1KQ_3g,1,-7.587529581,5.594613001,Distill - A Local Bar,"['Food', 'American (New)', 'Restaurants', 'Nightlife', 'Beer', 'Wine & Spirits', 'Bars']",4,204
SQ8Tkavc4TJj-2kanEDzLg,2,17.37685068,-11.44495596,Red Rock Pizza,"['Italian', 'Restaurants', 'Pizza']",4,120
GUaPe4gw5KhihfPPqhtSIA,1,-7.124017415,10.76104965,TGI Fridays,"['Restaurants', 'Nightlife', 'American (Traditional)', 'Bars']",3,101
3BCsAgo_1i4xMuTyLKMLRQ,9,7.787014712,4.086341844,SkinnyFATS,"['Juice Bars & Smoothies', 'Delis', 'Food', 'American (New)', 'American (Traditional)', 'Restaurants', 'Breakfast & Brunch', 'Food Delivery Services']",4.5,1311
vodCM302JJ_P9yJt1WuH_w,12,-3.647777438,-1.747908971,VegeWay,"['Burgers', 'Restaurants', 'Vegetarian', 'Sandwiches', 'Fast Food', 'Vegan']",4.5,126
bzI2YREsxDomhVvvaZmcSw,2,12.75300433,-11.93345517,Sammy's Woodfired Pizza and Grill,"['Salad', 'Restaurants', 'Pizza', 'Gluten-Free']",4,198
wPiRP76arN0NB3M1ZXXp7g,4,4.27339236,-9.033430008,Canaletto,"['Restaurants', 'Italian']",3.5,491
w2b0ve7xpuCQkwYICFIUOg,4,6.29801682,-11.13098593,Pasta Shop Ristorante,"['Restaurants', 'Italian', 'Food', 'Pasta Shops', 'Specialty Food', 'Sandwiches']",4,252
QF2P3oJqCJC9z0TPDDFVxw,17,-18.67427167,-7.520777449,DJ's Taco Bar,"['Tex-Mex', 'Ethnic Food', 'Specialty Food', 'Food', 'Restaurants', 'Mexican', 'Tacos']",4,309
A3BzaW-pEmIH4Fu6dav7HA,19,4.139995991,4.9916409,Grand Caf姓,"['American (Traditional)', 'Restaurants', 'American (New)', 'Cafes']",3,113
SU56w479vUfFHsvmvQIf7A,6,3.292151663,-16.82637413,India Oven,"['Restaurants', 'Pakistani', 'Indian']",3.5,135
vzrcPqSdRY41GoO5DR5pYA,3,-0.783676589,13.61840133,Landry's Seafood,"['Restaurants', 'Seafood', 'American (Traditional)']",3,211
uu5AtMrz_94e8kk4Gixg9Q,15,-1.925687604,-7.113684346,Jollibee,"['Filipino', 'Fast Food', 'Restaurants']",3.5,148
k8BqCejnaMlw7aoVthvqyw,4,6.344403234,-12.5863492,The Bootlegger Italian Bistro,"['Restaurants', 'Italian']",4,597
kosTPb88O4Q0XGbVbEOGCA,16,-2.192841805,-17.90237261,Prommares Thai Food,"['Restaurants', 'Thai']",4,175
C2T7ecxqsVu99PhSqT3c3g,9,14.88543672,6.721680677,PDQ,"['Chicken Shop', 'Salad', 'Restaurants', 'Sandwiches']",4.5,208
7EZ4Eu7YJ1ltRCC5jXFJrQ,6,8.604356363,-16.2675141,The Buffet At TI,"['Buffets', 'Restaurants', 'Sushi Bars', 'Asian Fusion', 'Breakfast & Brunch', 'American (Traditional)']",2.5,645
SzBpr6or7BQcjc-e3ARLjw,9,8.501598025,3.333739249,Greens and Proteins,"['Restaurants', 'Sandwiches', 'Breakfast & Brunch']",4.5,118
ZtJ6sTq7-5rL9ORUtQJHAQ,4,5.006597727,-8.342594614,Gaetano's Ristorante,"['Italian', 'Restaurants']",4,300
g8OnV26ywJlZpezdBnOWUQ,19,2.076146405,1.790043562,Hash House A Go Go,"['Breakfast & Brunch', 'Restaurants', 'American (New)']",4,2835
DTz6gFeWmdvSEIFGjXpIgQ,2,15.74828019,-11.80995622,Grinders Pizza Lounge,"['Restaurants', 'Pizza', 'Food', 'Desserts', 'Sandwiches']",4,185
3ajqOW9A7VhResA08I7RTg,19,1.950530804,1.752772643,Hash House A Go Go,"['Restaurants', 'American (New)', 'Breakfast & Brunch']",3.5,550
I1gRYCt2exnOMsTr-lEJVA,19,-0.960525079,1.812202781,Squeeze In,"['Burgers', 'Breakfast & Brunch', 'Restaurants', 'American (Traditional)']",4.5,134
SGyQqYXVq2Rck8ipEmJKmg,9,3.061098352,-1.04572118,Purple Penguin Snowcone Shack,"['Ice Cream & Frozen Yogurt', 'Restaurants', 'Desserts', 'Food Stands', 'Shaved Ice', 'Food']",4,103
GMBvBDKgOT51xDTpGVphBw,6,4.568890891,-16.95908086,Bombay Indian Cuisine,"['Indian', 'Restaurants']",3,107
PtwW1Hwme8Y0wy54zNr8Xw,19,-2.095628138,2.01049229,Egg Works,"['American (Traditional)', 'Restaurants', 'Breakfast & Brunch', 'American (New)']",4.5,418
inuW6Gl02Mf8G5RRk39_lw,16,-1.297931826,-19.49084234,Chada Street,"['Nightlife', 'Thai', 'Desserts', 'Food', 'Restaurants', 'Bars', 'Wine Bars']",4,119
Tk7qCou7aYv_Z-K3a7NhhA,9,0.847795564,19.04341709,Shish Kabob House,"['Mediterranean', 'Middle Eastern', 'Restaurants']",4,369
bRR4gsjHv0F_RnRGjQBqlg,9,17.07882159,9.759163037,CJ's Italian Ice & Custard,"['Desserts', 'Restaurants', 'Ice Cream & Frozen Yogurt', 'Food', 'Italian']",4,182
4uISbaUPJLVECBHIi3tpxA,7,-1.993525337,-15.87218782,Wazuzu,"['Diners', 'Asian Fusion', 'Restaurants']",3.5,392
agGJSdMTRrkA6VrYMbC-SQ,7,-8.202542567,-7.468387133,Volcano Grille,"['Japanese', 'Restaurants']",4,195
IhNASEZ3XnBHmuuVnWdIwA,18,1.693235477,-3.931250978,Brew Tea Bar,"['Tea Rooms', 'Cafes', 'Restaurants', 'Bubble Tea', 'Desserts', 'Food']",5,769
vGAJwqvfJLoeHdaM-8eRng,1,-8.905190615,15.13689698,Chili's,"['Nightlife', 'Tex-Mex', 'Restaurants', 'Bars', 'American (Traditional)']",2.5,157
1nF8Me63cpxIkFK8Ysx-DA,7,-8.553620207,-9.237527522,Shabu Shabu Paradise,"['Restaurants', 'Japanese', 'Fondue']",4.5,204
pJpjgXH5lgJtIJos9GqetQ,6,7.268653716,-17.10498144,Buffet of Buffets,"['Buffets', 'Restaurants']",4,368
LpGCzgAKNSpzDNEUMVVtZA,2,15.08755002,-13.23221208,Grimaldi's - Coal Brick-Oven Pizzeria,"['Restaurants', 'Pizza']",4,394
5T0h9YCsXiDZyBsVIN9gcg,10,19.80064919,-4.639415229,Viet Bistro,"['Vietnamese', 'Restaurants']",3.5,278
Ch3HkwQYv1YKw_FO06vBWA,7,-6.396458467,-13.58602147,P.F. Chang's,"['Restaurants', 'Chinese', 'Gluten-Free', 'Asian Fusion']",3.5,195
